,name,NO.in Stock,price,Rating,No.Ratings
41,وحدة تحكم لاسلكية دوال سينس لجهاز بلاي ستيشن 5 من سوني (صانع المعدّات الأصلية)، فضي استرليني EU، بلوتوث,N/A,N\A,4.1 من 5 نجوم,20
42,هيتمان وورلد اوف اساسينيشن (PS5),تبقى 1 فقط - اطلبه الآن.,"2,350.‎",4.5 من 5 نجوم,178
43,كونامي سايلنت هيل 2 - بلاي ستيشن 5,تبقى 1 فقط - اطلبه الآن.,"3,999.‎",4.7 من 5 نجوم,204
44,ذاكرة مستديمة M.2 SSD 2TB SN850P سعة 4 تيرابايت مرخصة رسميًا لوحدة تحكم بلاي ستيشن 5 حتى 7300 ميجابايت/ثانية مع مشتت حراري WDBBYV0020BNC-WRSN من دبليو دي بلاك، nvme، محرك الحالة الصلبة,تبقى 1 فقط - اطلبه الآن.,"10,799.‎",4.8 من 5 نجوم,"5,511"
45,شنطة ظهر محمولة متعددة الوظائف ومقاومة للماء لذراع تحكم بلاي ستيشن 5 مقاومة للماء مع قاعدة وملحقات من بالاي®، اسود,تبقى 2 فقط - اطلبه الآن.,450.‎,2.9 من 5 نجوم,14
46,لعبة الفيديو الرقمية يوبيسوفت ستار وورز اوت لوز الإصدار المحدود (بلاي ستيشن 5),تبقى 1 فقط - اطلبه الآن.,"3,999.‎",4.2 من 5 نجوم,367
47,جوكوي ستيكر لاصق من الفينيل لجهاز تشغيل العاب الفيديو الرقمية لجهاز بلاي ستيشن 5 بتصميم بانثر بلون ارجواني,N/A,399.‎,4.0 من 5 نجوم,2
48,لعبة سي دي سبايدر مان 2 من مارفل لجهاز بلاي ستيشن 5,تبقى 1 فقط - اطلبه الآن.,"3,590.‎",4.2 من 5 نجوم,478
49,وحدة تحكم لاسلكية دوال سينس لجهاز بلاي ستيشن 5 (اصدار المملكة العربية السعودية) - رمادي مموه، USB,N/A,N\A,4.4 من 5 نجوم,125
50,العاب وارنر براذرز التفاعلية لعبة مورتال كومبات 11 التيميت (بلاي ستيشن 5),تبقى 1 فقط - اطلبه الآن.,"1,650.‎",4.5 من 5 نجوم,592
51,حامل تبريد متعدد الوظائف لجهاز PS5 TP5-05100، سيليكون، من دوبي,تبقى 1 فقط - اطلبه الآن.,972.‎,3.1 من 5 نجوم,2
52,لعبة ستراي لجهاز بلاي ستيشن 5,تبقى 2 فقط - اطلبه الآن.,"2,700.‎",5.0 من 5 نجوم,1
53,ملصق لجهاز بلاي ستيشن 5 ذا لاست اوف اس #5 لجهاز بلاي ستيشن 5 (نحيف - رقمي),N/A,"1,500.‎",N\A,N/A
54,ستيكر لاصق لجهاز بلاي ستيشن 5 بتصميم كول اوف ديوتي #5,N/A,"1,500.‎",N\A,N/A
55,ملصق باتمان #2 لجهاز بلاي ستيشن 5 (نحيف - سي دي),N/A,"1,500.‎",N\A,N/A
56,الاضافات ملصق لجهاز PS5 G.T.A VI #1 متوافق مع بلاي ستيشن 5 (قياسي - رقمي),N/A,"1,500.‎",N\A,N/A
57,ستيكر لاصق بصورة سبايدر مان #4 لجهاز بلاي ستيشن 5,N/A,"1,500.‎",N\A,N/A
58,ستيكر لاصق لذراع تحكم بلاي ستيشن 4 بتصميم مموه #2,تبقى 2 فقط - اطلبه الآن.,300.‎,N\A,N/A
59,ستيكر لاصق ديجيتال بنمط جود اوف وور 2 لجهاز بلاي ستيشن 5,N/A,"1,500.‎",N\A,N/A
