,name,NO.in Stock,price,Rating,No.Ratings
26,لعبة هوجورتس ليجاسي لـPS4 (حصري على أمازون),تبقى 1 فقط - اطلبه الآن.,"1,900.‎",4.7 من 5 نجوم,"4,455"
27,لعبة فيديو 11 مورتال كومبات التيميت لجهاز بلاي ستيشن 4 من وارنر برذرز,تبقى 1 فقط - اطلبه الآن.,"1,232.‎",5.0 من 5 نجوم,3
28,ذا كرو موتور فيست - [بلاي ستيشن 4],تبقى 1 فقط - اطلبه الآن.,"2,499.‎",4.5 من 5 نجوم,73
29,FIFA 18 PS4,N/A,N\A,4.5 من 5 نجوم,"3,309"
30,قاعدة شحن ذراع تحكم بلاي ستيشن 4 من تيهوكيل شاحن USB مزدوج للشحن السريع مع مؤشر LED متوافق وحدة سليم برو أسود يو اس بي,تبقى 2 فقط - اطلبه الآن.,275.‎,4.2 من 5 نجوم,"1,015"
31,هونيين كيبل شاحن لوحدة تحكم بلاي ستيشن 4 سلك USB مايكرو بطول 3 متر لاجهزة دوال شوك سليم برو اكس بوكس ون وجميع اجهزة يو اس بي من قطعتين,N/A,545.‎,4.5 من 5 نجوم,"1,292"
32,طارة دركسيون للألعاب في 9 من بي اكس ان مع دواسات وناقل حركة لأجهزة الكمبيوتر واكس بوكس ون سلسلة اس وبلاي ستيشن 4 3 وسويتش USB أسود,تبقى 4 فقط - اطلبه الآن.,"6,600.‎",4.0 من 5 نجوم,731
33,لعبة مورتال_كومبات 11 بلاي ستيشن 4,تبقى 1 فقط - اطلبه الآن.,"1,199.‎",4.1 من 5 نجوم,4
34,محول بلوتوث USB 5.3 لكمبيوتر UB500 من تي بي لينك، دونجل مستقبل بلوتوث 5.3 يدعم ويندوز 0/5/8.5/7/XP لكمبيوتر مكتبي ولاب توب وماوس وكيبورد وطابعات وسماعات ومكبرات صوت وPS4/10/8.1/8/7، وذراع Xbox,N/A,387.‎,4.6 من 5 نجوم,"130,122"
35,لعبة سبايدرمان إصدار السنة (نسخة عربية) لجهاز بلاي ستيشن 4 (PS4) من انسومنياك,تبقى 1 فقط - اطلبه الآن.,"1,525.‎",4.4 من 5 نجوم,22
36,حامل وحدة تحكم عالمي من سويليت 3 طبقات وحامل سماعة رأس لجهاز بلاي ستيشن 4 وبلاي 5 واكس بوكس ون سويتش أبيض زجاج,تبقى 4 فقط - اطلبه الآن.,550.‎,4.4 من 5 نجوم,26
37,هيكفلاي غطاء حماية من السيليكون لجهاز سوني بلاي ستيشن 4 وبلاي سليم برو سي ان تي رولر (2 × مموه مع 8 اغطية ابهام اف بي اس (ازرق واحمر),تبقى 3 فقط - اطلبه الآن.,450.‎,4.0 من 5 نجوم,215
38,وحدة تحكم سلكية دوال شوك (T29) لجهاز بلاي ستيشن 4 من كوجار ايجي لاجهزة الكمبيوتر برو سليم ويندوز 10 8 بالاهتزاز (موديل PS5) احمر,N/A,674.‎,3.1 من 5 نجوم,6
39,ARK: Survival Evolved (PS4),تبقى 1 فقط - اطلبه الآن.,"1,750.‎",4.5 من 5 نجوم,"2,628"
40,"شاحن وحدة تحكم بلاي ستيشن 4 ، شحن USB لاجهزة مناسبة دوال شوك - سوني - سليم - برو منصة عن بعد لوحدة لون اسود , عدد 1",تبقى 1 فقط - اطلبه الآن.,404.‎,5.0 من 5 نجوم,11
41,لعبة ريزدنت ايفل 4 (بلاي ستيشن 4),تبقى 1 فقط - اطلبه الآن.,"2,500.‎",4.8 من 5 نجوم,925
42,لعبة ريد ديد ريديمبشن 2 لجهاز بلاي ستيشن 4 من روك ستار,N/A,N\A,4.0 من 5 نجوم,777
43,باثيا مصباح ايقونات بلاي ستيشن من بالادون مع 3 اوضاع اضاءة غرفة العاب تفاعلية للموسيقى 4) متعدد الألوان,تبقى 2 فقط - اطلبه الآن.,974.‎,4.6 من 5 نجوم,"35,382"
44,وسادة العاب لجهاز بلاي ستيشن 4 - اسود، مطاط,تبقى 2 فقط - اطلبه الآن.,845.‎,N\A,N/A
45,هيكفلاي غطاء حماية من السيليكون لجهاز سوني بلاي ستيشن 4 وبلاي سليم برو سي ان تي رولر (1 × مموه مع 8 اغطية ابهام اف بي اس (ازرق),تبقى 1 فقط - اطلبه الآن.,299.‎,3.5 من 5 نجوم,143
46,وحدة تحكم لاسلكية مزدوجة الاهتزاز لالعاب بلاي ستيشن 4 - سليم - برو - الكمبيوتر وين 7 - 8 - 10 واي سي تيم متوافقة مع - اسود USB,N/A,900.‎,4.0 من 5 نجوم,141
47,سلسلة ألعاب جران توريزمو سبورت لبلاي ستيشن 4,تبقى 1 فقط - اطلبه الآن.,899.‎,N\A,N/A
48,لعبة كراش تيم ريسينج نيترو فيولد نسخة اللغة العربية لاجهزة بلاي ستيشن 4,تبقى 1 فقط - اطلبه الآن.,"1,449.‎",5.0 من 5 نجوم,1
49,حامل PS4 من اسونسيل مع مروحة تبريد لجهاز / PS4 سليم PS4 برو قاعدة شحن مزدوجة لذراع التحكم و12 فتحة ألعاب وحامل منظم تخزين PS4 لمشغلات الألعاب أحمر,تبقى 4 فقط - اطلبه الآن.,"1,100.‎",3.9 من 5 نجوم,13
50,"قواعد متوافق مع بلاي ستيشن 4 , عدد 1، يو اس بي، رمادي",تبقى 3 فقط - اطلبه الآن.,730.‎,2.5 من 5 نجوم,17
51,لعبة باتمان اركام نايت لجهاز PS4 (EU),تبقى 1 فقط - اطلبه الآن.,"1,499.‎",4.5 من 5 نجوم,"1,926"
52,ملصق بتصميم شخصيات مورتال كومبات #1 لجهاز PS4 متوافق مع ذراع تحكم بلاي ستيشن 4,N/A,200.‎,1.0 من 5 نجوم,1
53,ستيكر لاصق لجهاز PS4 بتصميم فريق تشيلسي رقم 1 متوافق مع ذراع تحكم PlayStation 4,N/A,200.‎,N\A,N/A
54,الاضافات ملصق PS4 قياسي FC Barcelona #4 لجهاز PlayStation 4,تبقى 1 فقط - اطلبه الآن.,600.‎,N\A,N/A
55,الاضافات ملصق PS4 قياسي FC Barcelona #3 لجهاز PlayStation 4,N/A,600.‎,N\A,N/A
56,ملصق PS4 قياسي FC Barcelona #1 لجهاز PlayStation 4,N/A,600.‎,N\A,N/A
57,الاضافات ملصق PS4 قياسي FC Barcelona #2 لجهاز PlayStation 4,N/A,600.‎,N\A,N/A
58,ملصق لجهاز بلاي ستيشن 4 ستاندرد ارسنال اف سي #1 لجهاز بلاي ستيشن 4,تبقى 1 فقط - اطلبه الآن.,600.‎,N\A,N/A
59,ملصق سليم ارسنال اف سي #1 لجهاز بلاي ستيشن 4,تبقى 1 فقط - اطلبه الآن.,600.‎,N\A,N/A
